url,name,cost_sgd,sell_sgd,sold,reviews,rating,images,shop
https://shopee.sg/black-bamboo-shoe-rack-bench-seat-wearing-taking-off-shoes-strong-organizer-i.96953349.20625520788,"Black Bamboo Shoe Rack Bench/Seat Wearing Taking off Shoes Strong Organizer",20.7,49,5000,1936,4.79,9,"Lucky Baby Mummy SG"
https://shopee.sg/wardrobe-foldable-wardrobe-baby-wardrobe-transparent-double-door-wardrobe-cabinet-storage-snacks-sto-i.559085948.19286625586,"wardrobe Foldable Wardrobe  baby wardrobe   Transparent double door wardrobe cabinet storage /Snacks Storage Cabinet",64.9,99,5000,1914,4.79,9,"ABC Bear Home Storage"
https://shopee.sg/kapas-living-waterproof-tencel-mattress-protector-or-pillow-protector-tencel-cooling-i.934763865.19373899412,"KAPAS LIVING | Waterproof Tencel Mattress Protector or Pillow Protector | TENCEL | Cooling",25.06,59,5000,1911,4.94,7,"kapasliving"
https://shopee.sg/mums-choice-anti-dust-mite-bamboo-high-density-foam-mattress-with-breathable-holes-suitable-for-baby-i.5651988.1790732797,"Mums Choice Anti-Dust Mite Bamboo High Density Foam Mattress With breathable Holes Suitable for Baby Cot or Playpen",58.65,89,5000,1906,4.93,9,"Mums Choice"
https://shopee.sg/cotton-mattress-protector-elastic-band-sofe-comfy-anti-mite-breathable-otector-double-side-padded-en-i.507765009.8488660698,"Cotton Mattress Protector Elastic Band sofe&comfy Anti Mite Breathable otector Double side padded Envelope type",6.8,39,2000,1892,4.9,9,"HAVE A GOOD DAY"
https://shopee.sg/deliver-in-1-3-days-foldable-foam-mattress-i.136328682.2078146172,"[DELIVER IN 1 - 3 DAYS] FOLDABLE FOAM MATTRESS",55.9,89,2000,1892,4.9,9,"Moments Home And Living Pte Ltd"
https://shopee.sg/sg-stocks-upgraded-metal-shoe-rack-multi-layer-shoe-rack-minimalist-anti-rust-shoe-rack-bto-hdb-cho-i.115295362.17134438883,"⭐SG STOCKS⭐ Upgraded Metal Shoe Rack/ Multi-layer Shoe Rack/Minimalist Anti Rust Shoe Rack/ BTO HDB Choice",8.54,39,2000,1826,4.75,9,"EVERLAND"
https://shopee.sg/next-day-delivery-shoe-cabinet-stackable-multifunctional-shoe-storage-cabinet-home-shoe-box-shoe-ra-i.1389128163.29668724903,"【Next-Day Delivery】 Shoe Cabinet Stackable Multifunctional Shoe Storage Cabinet Home Shoe Box Shoe Rack Cabinet",14.85,39,2000,1806,4.8,9,"LILI Home"
https://shopee.sg/baby-mattress-adult-mattress-standard-customize-size-i.198897195.6706967970,"Baby Mattress/ Adult Mattress - Standard / Customize Size",67.9,109,2000,1794,4.92,8,"sgmommiesandbabies"
https://shopee.sg/lucky-home-multi-purpose-foldable-laptop-table-lazy-table-bed-table-with-tablet-holder-for-work-stu-i.1132987842.22987851216,"🇸🇬Lucky Home🔥Multi-purpose Foldable Laptop Table Lazy Table Bed Table with Tablet Holder for Work Study",7.62,39,2000,1756,4.83,6,"Lucky Home Lifestyle"
